,_id,recording_date,recording_month,recording_year,extracting_time,airline,airline-id,date_of_journey,source,destination,departing_time,arrival_time,duration(min),normal_price,discounted_price
0,"ObjectId(""5df691002d17e1ba8c6df920"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG192,20200331.0,Bangalore,Delhi,935.0,1230.0,175.0,3630.0,0.0
1,"ObjectId(""5df691022d17e1ba8c6df921"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG198,20200331.0,Bangalore,Delhi,2030.0,2320.0,170.0,3630.0,0.0
2,"ObjectId(""5df691022d17e1ba8c6df922"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG136,20200331.0,Bangalore,Delhi,555.0,835.0,160.0,3630.0,0.0
3,"ObjectId(""5df691022d17e1ba8c6df923"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG8906,20200331.0,Bangalore,Delhi,2305.0,145.0,160.0,3630.0,0.0
4,"ObjectId(""5df691032d17e1ba8c6df924"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG8720,20200331.0,Bangalore,Delhi,2205.0,100.0,175.0,3630.0,0.0
5,"ObjectId(""5df691032d17e1ba8c6df925"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2484,20200331.0,Bangalore,Delhi,2325.0,215.0,170.0,3683.0,0.0
6,"ObjectId(""5df691032d17e1ba8c6df926"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2562,20200331.0,Bangalore,Delhi,400.0,650.0,170.0,3683.0,0.0
7,"ObjectId(""5df691032d17e1ba8c6df927"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2289,20200331.0,Bangalore,Delhi,2220.0,115.0,175.0,3683.0,0.0
8,"ObjectId(""5df691042d17e1ba8c6df928"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2135,20200331.0,Bangalore,Delhi,140.0,425.0,165.0,3683.0,0.0
9,"ObjectId(""5df691042d17e1ba8c6df929"")",16.0,12.0,2019.0,01:31:04,AirAsia India,I5737,20200331.0,Bangalore,Delhi,825.0,1105.0,160.0,3683.0,0.0
10,"ObjectId(""5df691042d17e1ba8c6df92a"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2032,20200331.0,Bangalore,Delhi,1030.0,1325.0,175.0,3683.0,0.0
11,"ObjectId(""5df691042d17e1ba8c6df92b"")",16.0,12.0,2019.0,01:31:04,AirAsia India,I5741,20200331.0,Bangalore,Delhi,1120.0,1355.0,155.0,3990.0,0.0
12,"ObjectId(""5df691052d17e1ba8c6df92c"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2305,20200331.0,Bangalore,Delhi,2120.0,20.0,180.0,3991.0,0.0
13,"ObjectId(""5df691052d17e1ba8c6df92d"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2625,20200331.0,Bangalore,Delhi,40.0,330.0,170.0,3991.0,0.0
14,"ObjectId(""5df691052d17e1ba8c6df92e"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E5035/6E5035,20200331.0,Bangalore,Delhi,1130.0,1540.0,250.0,4043.0,0.0
15,"ObjectId(""5df691052d17e1ba8c6df92f"")",16.0,12.0,2019.0,01:31:04,Vistara,UK816,20200331.0,Bangalore,Delhi,1145.0,1415.0,150.0,4422.0,0.0
16,"ObjectId(""5df691062d17e1ba8c6df930"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2132,20200331.0,Bangalore,Delhi,630.0,910.0,160.0,4482.0,0.0
17,"ObjectId(""5df691062d17e1ba8c6df931"")",16.0,12.0,2019.0,01:31:04,AirAsia India,I52878,20200331.0,Bangalore,Delhi,550.0,835.0,165.0,4482.0,0.0
18,"ObjectId(""5df691062d17e1ba8c6df932"")",16.0,12.0,2019.0,01:31:04,AirAsia India,I5722,20200331.0,Bangalore,Delhi,2340.0,220.0,160.0,4482.0,0.0
19,"ObjectId(""5df691062d17e1ba8c6df933"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E2228,20200331.0,Bangalore,Delhi,710.0,1010.0,180.0,4482.0,0.0
20,"ObjectId(""5df691072d17e1ba8c6df934"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E5022,20200331.0,Bangalore,Delhi,1000.0,1300.0,180.0,4482.0,0.0
21,"ObjectId(""5df691072d17e1ba8c6df935"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG516/SG8184,20200331.0,Bangalore,Delhi,1020.0,1815.0,475.0,4777.0,0.0
22,"ObjectId(""5df691072d17e1ba8c6df936"")",16.0,12.0,2019.0,01:31:04,AirAsia India,I51424/I5729,20200331.0,Bangalore,Delhi,25.0,720.0,415.0,4918.0,0.0
23,"ObjectId(""5df691082d17e1ba8c6df937"")",16.0,12.0,2019.0,01:31:04,Vistara,UK812,20200331.0,Bangalore,Delhi,945.0,1240.0,175.0,4947.0,0.0
24,"ObjectId(""5df691082d17e1ba8c6df938"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E5032,20200331.0,Bangalore,Delhi,830.0,1130.0,180.0,4957.0,0.0
25,"ObjectId(""5df691082d17e1ba8c6df939"")",16.0,12.0,2019.0,01:31:04,AirAsia India,I5303/I5546,20200331.0,Bangalore,Delhi,530.0,1055.0,325.0,4999.0,0.0
26,"ObjectId(""5df691082d17e1ba8c6df93a"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG3463/SG126,20200331.0,Bangalore,Delhi,1850.0,2345.0,295.0,5004.0,0.0
27,"ObjectId(""5df691092d17e1ba8c6df93b"")",16.0,12.0,2019.0,01:31:04,IndiGo,6E452/6E452,20200331.0,Bangalore,Delhi,1725.0,2155.0,270.0,5009.0,0.0
28,"ObjectId(""5df691092d17e1ba8c6df93c"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG6351/SG6702,20200331.0,Bangalore,Delhi,525.0,1225.0,420.0,5041.0,0.0
29,"ObjectId(""5df691092d17e1ba8c6df93d"")",16.0,12.0,2019.0,01:31:04,Spicejet,SG8718,20200331.0,Bangalore,Delhi,1510.0,1800.0,170.0,5049.0,0.0
30,"ObjectId(""5df6910a2d17e1ba8c6df93e"")",16.0,12.0,2019.0,01:31:04,AirAsia India,I51426/I5732,20200331.0,Bangalore,Delhi,1305.0,2035.0,450.0,5171.0,0.0
31,"ObjectId(""5df6910a2d17e1ba8c6df93f"")",16.0,12.0,2019.0,01:31:04,Air India,AI173,20200331.0,Bangalore,Delhi,2110.0,2355.0,165.0,0.0,4836.0
32,"ObjectId(""5df6910a2d17e1ba8c6df940"")",16.0,12.0,2019.0,01:31:04,Air India,AI804,20200331.0,Bangalore,Delhi,610.0,855.0,165.0,0.0,4836.0
33,"ObjectId(""5df6910a2d17e1ba8c6df941"")",16.0,12.0,2019.0,01:31:04,Air India,AI802,20200331.0,Bangalore,Delhi,2305.0,130.0,145.0,0.0,4836.0
